dataset,model,f1,f1_lo,f1_hi,auc_pr,auc_pr_lo,auc_pr_hi
CreditCard,FFN,0.7857,0.6942,0.8571,0.7006,0.5737,0.8176
CreditCard,XGBoost,0.8346,0.7547,0.9027,0.8162,0.7252,0.9008
CreditCard,Autoencoder,0.1979,0.1541,0.2444,0.4284,0.3096,0.5558
CreditCard,Isolation Forest,0.1988,0.1411,0.2529,0.1301,0.0855,0.2034
CreditCard,Meta-LR,0.8029,0.72,0.8742,0.8198,0.7291,0.9042
CreditCard,Meta-RF,0.7941,0.7107,0.8702,0.7892,0.6935,0.8797
CreditCard,Meta-GBM,0.0638,0.0,0.1412,0.0186,0.0042,0.0644
CreditCard,Meta-SVM,0.3257,0.2609,0.3895,0.1218,0.0897,0.1763
CreditCard,Meta-MLP,0.8308,0.7525,0.9,0.8028,0.7008,0.8934
CreditCard,Meta-AdaBoost,0.8438,0.7692,0.9091,0.7734,0.6687,0.8727
BankSim,FFN,0.7195,0.6961,0.7402,0.7659,0.7397,0.7914
BankSim,XGBoost,0.7183,0.6936,0.7423,0.7721,0.749,0.7949
BankSim,Autoencoder,0.6693,0.6399,0.6932,0.6779,0.6488,0.7052
BankSim,Isolation Forest,0.2955,0.2727,0.3194,0.2179,0.198,0.2423
BankSim,Meta-LR,0.7151,0.6923,0.7366,0.7698,0.7467,0.7926
BankSim,Meta-RF,0.7303,0.7048,0.7515,0.7859,0.7628,0.8067
BankSim,Meta-GBM,0.7323,0.7086,0.755,0.8034,0.7817,0.8235
BankSim,Meta-SVM,0.4656,0.4392,0.4934,0.4067,0.3785,0.4396
BankSim,Meta-MLP,0.7322,0.7083,0.7536,0.7846,0.7614,0.8076
BankSim,Meta-AdaBoost,0.7315,0.709,0.7533,0.7665,0.7429,0.7892
