dataset,model,threshold,f1,precision,recall,auc_pr
BankSim,BS-FFN,0.9752,0.7195,0.7329,0.7065,0.7659
BankSim,BS-XGBoost,0.9752,0.7183,0.841,0.6269,0.7721
BankSim,BS-Autoencoder,0.5172,0.6693,0.848,0.5528,0.6779
BankSim,BS-Isolation Forest,0.9408,0.2955,0.2798,0.313,0.2179
BankSim,BS-Meta-LR,0.9851,0.7151,0.7445,0.688,0.7698
BankSim,BS-Meta-RF,0.4532,0.7303,0.8538,0.638,0.7859
BankSim,BS-Meta-GBM,0.532,0.7323,0.9012,0.6167,0.8034
BankSim,BS-Meta-SVM,0.1627,0.4656,0.4531,0.4787,0.4067
BankSim,BS-Meta-MLP,0.4877,0.7322,0.8078,0.6694,0.7846
BankSim,BS-Meta-AdaBoost,0.4828,0.7315,0.8349,0.6509,0.7665
