dataset,model,threshold,f1,precision,recall,auc_pr
CreditCard,FFN,0.99,0.7857,0.7971,0.7746,0.7006
CreditCard,XGBoost,0.9605,0.8346,0.9464,0.7465,0.8162
CreditCard,Autoencoder,0.99,0.1979,0.1129,0.8028,0.4284
CreditCard,Isolation Forest,0.99,0.1988,0.1264,0.4648,0.1301
CreditCard,Meta-LR,0.9851,0.8029,0.8333,0.7746,0.8198
CreditCard,Meta-RF,0.2119,0.7941,0.8308,0.7606,0.7892
CreditCard,Meta-GBM,0.0149,0.0638,0.1304,0.0423,0.0186
CreditCard,Meta-SVM,0.074,0.3257,0.2043,0.8028,0.1218
CreditCard,Meta-MLP,0.5813,0.8308,0.9153,0.7606,0.8028
CreditCard,Meta-AdaBoost,0.4483,0.8438,0.9474,0.7606,0.7734
