sensitivity,batch_size,learning_rate,hidden_dims,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,roc_auc,average_precision,threshold,true_negatives,false_positives,false_negatives,true_positives,final_train_loss,elapsed_seconds,objective
99.0,128,0.001,64-32-16-8,0.9895133540881533,0.1214574898785425,0.8108108108108109,0.2112676056338028,0.9898234342392196,0.010176565760780359,0.1891891891891892,0.9236762320976919,0.4161237433054365,0.01517430879175663,42213,434,14,60,0.0022430618084967138,11.326279457949568,0.613738163127749
97.5,128,0.001,64-32-16-8,0.9739238313709885,0.05249569707401033,0.8243243243243243,0.09870550161812297,0.9741834126667761,0.02581658733322391,0.17567567567567569,0.9236762320976919,0.4161237433054365,0.008294781669974327,41546,1101,13,61,0.0022430618084967138,11.252568167052232,0.6092965307199056
95.0,128,0.001,64-32-16-8,0.9493223473233304,0.028416779431664412,0.8513513513513513,0.05499781754692274,0.9494923441273712,0.05050765587262879,0.14864864864864866,0.9236762320976919,0.4161237433054365,0.005541160237044096,40493,2154,11,63,0.0022430618084967138,11.259188833995722,0.6037077532069599
99.0,256,0.0001,32-16-8,0.9888345310268954,0.11324376199616124,0.7972972972972973,0.19831932773109243,0.9891668816094918,0.010833118390508125,0.20270270270270271,0.9351757260578515,0.39296776240216275,0.025477608665823936,42185,462,15,59,0.006774138867557049,6.186259083042387,0.586875527531233
99.0,128,0.0001,64-32-16-8,0.9898410617728985,0.12343096234309624,0.7972972972972973,0.213768115942029,0.9901751588622881,0.009824841137711914,0.20270270270270271,0.9332162079776215,0.3917381824859826,0.01940324530005455,42228,419,15,59,0.003457262492403388,11.318280334002338,0.5861500862414509
99.0,512,0.0005,32-16-8,0.9894665387046183,0.1194331983805668,0.7972972972972973,0.20774647887323944,0.989799985931015,0.010200014068984922,0.20270270270270271,0.9394471205794394,0.3903798436288766,0.020618777722120285,42212,435,15,59,0.004191506426110864,4.623307375004515,0.5846041609187085
97.5,256,0.0001,32-16-8,0.9735961236862433,0.05110732538330494,0.8108108108108109,0.09615384615384616,0.9738785846601168,0.026121415339883228,0.1891891891891892,0.9351757260578515,0.39296776240216275,0.018714051693677902,41533,1114,14,60,0.006774138867557049,6.430056417011656,0.5826097574349238
99.0,512,0.001,32-16-8,0.9897006156222935,0.12190082644628099,0.7972972972972973,0.2114695340501792,0.9900344690130607,0.009965530986939293,0.20270270270270271,0.9355979540400485,0.3851200167465287,0.019397126510739326,42222,425,15,59,0.003437218530327082,4.479496375017334,0.5794615755773833
97.5,256,0.001,64-32-16-8,0.9739940544462911,0.05263157894736842,0.8243243243243243,0.0989456609894566,0.9742537575913898,0.025746242408610218,0.17567567567567569,0.9428033973429899,0.386222449370097,0.0096457339823246,41549,1098,13,61,0.0028272370344400405,7.666990125027951,0.5794304092468731
97.5,256,0.001,16-8-4,0.9741813159804311,0.05221932114882506,0.8108108108108109,0.09811937857726902,0.9744647923652309,0.02553520763476915,0.1891891891891892,0.9336173641693374,0.38873037665399557,0.017636846750974655,41558,1089,14,60,0.006463193898499012,5.639923249953426,0.5786654755393137
99.0,256,0.001,32-16-8,0.9896069848552235,0.12090163934426229,0.7972972972972973,0.2099644128113879,0.9899406757802425,0.010059324219757545,0.20270270270270271,0.9379025424937212,0.38047671079828516,0.01903555914759636,42218,429,15,59,0.003156025677770376,6.3403816249920055,0.5747713730127307
97.5,256,0.001,32-16-8,0.9750942159593643,0.05485611510791367,0.8243243243243243,0.10286677908937605,0.9753558280770043,0.024644171922995756,0.17567567567567569,0.9379025424937212,0.38047671079828516,0.010611079633235931,41596,1051,13,61,0.003156025677770376,6.195462791016325,0.5742357059178684
97.5,128,0.0005,16-8-4,0.9745558390487115,0.0529567519858782,0.8108108108108109,0.09942004971002485,0.9748399652965039,0.02516003470349614,0.1891891891891892,0.9316355068225071,0.38408478834774223,0.017428623512387276,41574,1073,14,60,0.0063805867528915405,7.626372417027596,0.5742074736986968
99.5,512,0.0005,32-16-8,0.994499192434634,0.2029520295202952,0.7432432432432432,0.3188405797101449,0.9949351654278143,0.005064834572185616,0.25675675675675674,0.9394471205794394,0.3903798436288766,0.03223656490445137,42431,216,19,55,0.004191506426110864,4.551031999988481,0.5736582371535947
97.5,512,0.0005,64-32-16-8,0.9741579082886637,0.05217391304347826,0.8108108108108109,0.09803921568627451,0.9744413440570263,0.025558655942973716,0.1891891891891892,0.9371826160580352,0.38336670681178725,0.011322004720568657,41557,1090,14,60,0.003566079366579652,5.52549483301118,0.5732900815430031
